author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Zhouqin Burnikel,Will Shortz,Normal,2018-01-02,Tuesday,2,Daily,14485,,2,100,True,,2238
Bruce Haight,Will Shortz,Normal,2018-01-03,Wednesday,3,Daily,14487,,6,100,True,,1849
Daniel Mauer,Will Shortz,Normal,2018-01-04,Thursday,4,Daily,14489,,5,100,True,,3762
Ned White,Will Shortz,Normal,2018-01-05,Friday,5,Daily,14488,,6,28,False,,1778
Peter Wentz,Will Shortz,Normal,2018-01-06,Saturday,6,Daily,14486,,3,100,True,,3774
David Steinberg,Will Shortz,Normal,2018-01-07,Sunday,0,Daily,14490,Vowel Play,33,88,False,,7558
Sam Ezersky,Will Shortz,Normal,2018-01-08,Monday,1,Daily,14555,,3,100,True,,1165
Peter A. Collins,Will Shortz,Normal,2018-01-09,Tuesday,2,Daily,14558,,8,100,True,,2069
Michael S. Maurer and Sen. Joe Donnelly,Will Shortz,Normal,2018-01-10,Wednesday,3,Daily,14556,,7,100,True,,2680
Sam Trabucco,Will Shortz,Normal,2018-01-11,Thursday,4,Daily,14560,,15,100,True,,2709
Erik Agard,Will Shortz,Normal,2018-01-12,Friday,5,Daily,14557,,3,100,True,,3212
Alan Derkazarian,Will Shortz,Normal,2018-01-13,Saturday,6,Daily,14559,,3,100,True,,5003
Joel Fagliano,Will Shortz,Normal,2018-01-14,Sunday,0,Daily,14561,Supreme Intelligence,6,2,False,,42
Zhouqin Burnikel and Agnes Davidson,Will Shortz,Normal,2018-01-15,Monday,1,Daily,14568,,3,100,True,,1196
David Steinberg,Will Shortz,Normal,2018-01-16,Tuesday,2,Daily,14573,,7,100,True,,2611
Jules P. Markey,Will Shortz,Normal,2018-01-17,Wednesday,3,Daily,14570,,3,100,True,,3237
Ryan McCarty and Alan Southworth,Will Shortz,Normal,2018-01-18,Thursday,4,Daily,14569,,5,100,True,,2603
David J. Kahn,Will Shortz,Normal,2018-01-19,Friday,5,Daily,14571,,4,39,False,,2008
Alex Vratsanos,Will Shortz,Normal,2018-01-20,Saturday,6,Daily,14572,,4,19,False,,420
Victor Barocas and Andy Kravis,Will Shortz,Normal,2018-01-21,Sunday,0,Daily,14574,Substitutes,9,0,False,,4
Paolo Pasco,Will Shortz,Normal,2018-01-22,Monday,1,Daily,14600,,8,100,True,,2397
Jim Hilger,Will Shortz,Normal,2018-01-23,Tuesday,2,Daily,14596,,4,100,True,,3819
Kathy Wienberg,Will Shortz,Normal,2018-01-24,Wednesday,3,Daily,14595,,4,100,True,,3138
Alex Eaton-Salners,Will Shortz,Normal,2018-01-25,Thursday,4,Daily,14597,,5,100,True,,3457
Caleb Madison,Will Shortz,Normal,2018-01-26,Friday,5,Daily,14598,,4,100,True,,3558
Mark Diehl,Will Shortz,Normal,2018-01-27,Saturday,6,Daily,14599,,5,100,True,,3179
Jeff Chen and Priscilla Clark,Will Shortz,Normal,2018-01-28,Sunday,0,Daily,14601,Surprise Endings,7,0,False,,45
Lynn Lempel,Will Shortz,Normal,2018-01-29,Monday,1,Daily,14619,,8,100,True,,1856
Emily Carroll,Will Shortz,Normal,2018-01-30,Tuesday,2,Daily,14620,,7,100,True,,2541
Jeff Chen and Josh Radnor,Will Shortz,Normal,2018-01-31,Wednesday,3,Daily,14622,,12,100,True,,2949
Damon Gulczynski,Will Shortz,Normal,2018-02-01,Thursday,4,Daily,14616,,8,100,True,,4467
Randolph Ross,Will Shortz,Normal,2018-02-02,Friday,5,Daily,14621,,8,0,False,,
Sam Ezersky and Byron Walden,Will Shortz,Normal,2018-02-03,Saturday,6,Daily,14618,,8,0,False,,
David Levinson Wilk,Will Shortz,Normal,2018-02-04,Sunday,0,Daily,14623,Cracking Wise,15,0,False,,28
Alan Arbesfeld,Will Shortz,Normal,2018-02-05,Monday,1,Daily,14672,,4,100,True,Gold,1195
Bruce Haight,Will Shortz,Normal,2018-02-06,Tuesday,2,Daily,14670,,6,100,True,,2907
Stu Ockman,Will Shortz,Normal,2018-02-07,Wednesday,3,Daily,14669,,7,100,True,,3204
Erik Agard,Will Shortz,Normal,2018-02-08,Thursday,4,Daily,14671,,4,100,True,,2683
Brendan Emmett Quigley,Will Shortz,Normal,2018-02-09,Friday,5,Daily,14668,,5,63,False,,2765
Finn Vigeland,Will Shortz,Normal,2018-02-10,Saturday,6,Daily,14673,,7,0,False,,
Matt Ginsberg,Will Shortz,Normal,2018-02-11,Sunday,0,Daily,14674,Paronomasia,6,0,False,,
Michael Black,Will Shortz,Normal,2018-02-12,Monday,1,Daily,14706,,6,100,True,,1611
Bruce Haight,Will Shortz,Normal,2018-02-13,Tuesday,2,Daily,14702,,5,100,True,,2485
Mary Lou Guizzo,Will Shortz,Normal,2018-02-14,Wednesday,3,Daily,14703,,6,100,True,,3153
Peter Gordon,Will Shortz,Normal,2018-02-15,Thursday,4,Daily,14705,,5,40,False,,1494
David Steinberg,Will Shortz,Normal,2018-02-16,Friday,5,Daily,14704,,3,65,False,,2401
Peter Wentz,Will Shortz,Normal,2018-02-17,Saturday,6,Daily,14701,,3,0,False,,
Elizabeth A. Long,Will Shortz,Normal,2018-02-18,Sunday,0,Daily,14707,See 68-Across,7,0,False,,
Bruce Haight,Will Shortz,Normal,2018-02-19,Monday,1,Daily,14726,,3,100,True,,1639
Joel Fagliano,Will Shortz,Normal,2018-02-20,Tuesday,2,Daily,14723,,4,64,False,,1784
Zachary Spitz and Ori Brian,Will Shortz,Normal,2018-02-21,Wednesday,3,Daily,14724,,7,100,True,,2438
Zhouqin Burnikel,Will Shortz,Normal,2018-02-22,Thursday,4,Daily,14727,,4,100,True,,2718
Trenton Charlson,Will Shortz,Normal,2018-02-23,Friday,5,Daily,14725,,3,100,True,,2974
John Guzzetta,Will Shortz,Normal,2018-02-24,Saturday,6,Daily,14728,,4,50,False,,1560
Will Nediger,Will Shortz,Normal,2018-02-25,Sunday,0,Daily,14729,Letter Recycling,11,0,False,,
Mark Diehl and Andrea Carla Michaels,Will Shortz,Normal,2018-02-26,Monday,1,Daily,14750,,6,100,True,,1716
Ross Trudeau,Will Shortz,Normal,2018-02-27,Tuesday,2,Daily,14749,,7,100,True,,2387
Peter A. Collins,Will Shortz,Normal,2018-02-28,Wednesday,3,Daily,14747,,8,0,False,,
Timothy Polin,Will Shortz,Normal,2018-03-01,Thursday,4,Daily,14751,,16,48,False,,1389
Joe DiPietro and Rachel Maddow,Will Shortz,Normal,2018-03-02,Friday,5,Daily,14746,,4,2,False,,76
Damon Gulczynski,Will Shortz,Normal,2018-03-03,Saturday,6,Daily,14752,,5,0,False,,
Byron Walden,Will Shortz,Normal,2018-03-04,Sunday,0,Daily,14748,Character Building,7,42,False,,1639
Lynn Lempel,Will Shortz,Normal,2018-03-05,Monday,1,Daily,14796,,4,100,True,,1393
Bruce Greig,Will Shortz,Normal,2018-03-06,Tuesday,2,Daily,14794,,6,87,False,,1973
Natan Last and the J.A.S.A. Crossword Class and  Andy Kravis,Will Shortz,Normal,2018-03-07,Wednesday,3,Daily,14797,,4,93,False,,2046
Jim Quinlan,Will Shortz,Normal,2018-03-08,Thursday,4,Daily,14795,,4,100,True,,1995
Neville Fogarty and Doug Peterson,Will Shortz,Normal,2018-03-09,Friday,5,Daily,14798,,4,26,False,,485
Ryan McCarty,Will Shortz,Normal,2018-03-10,Saturday,6,Daily,14799,,3,0,False,,
Matthew Sewell,Will Shortz,Normal,2018-03-11,Sunday,0,Daily,14800,"If Found, Call ...",9,0,False,,
John R. O'Brien,Will Shortz,Normal,2018-03-12,Monday,1,Daily,14811,,5,100,True,,1846
Carl Worth,Will Shortz,Normal,2018-03-13,Tuesday,2,Daily,14814,,4,100,True,,2170
Jeff Chen,Will Shortz,Normal,2018-03-14,Wednesday,3,Daily,14815,,4,100,True,,2016
Joe DiPietro,Will Shortz,Normal,2018-03-15,Thursday,4,Daily,14813,,6,0,False,,
Robyn Weintraub,Will Shortz,Normal,2018-03-16,Friday,5,Daily,14816,,4,3,False,,54
Roland Huget,Will Shortz,Normal,2018-03-17,Saturday,6,Daily,14812,,4,0,False,,
Daniel Raymon,Will Shortz,Normal,2018-03-18,Sunday,0,Daily,14817,Taking Your Q,5,0,False,,
Andrea Carla Michaels and Michael Wiesenberg,Will Shortz,Normal,2018-03-19,Monday,1,Daily,14868,,3,100,True,,1640
Andrew Zhou,Will Shortz,Normal,2018-03-20,Tuesday,2,Daily,14872,,4,100,True,,1751
Laura Braunstein,Will Shortz,Normal,2018-03-21,Wednesday,3,Daily,14873,,4,80,False,,1272
Ross Trudeau,Will Shortz,Normal,2018-03-22,Thursday,4,Daily,14870,,5,100,True,,2238
Erik Agard,Will Shortz,Normal,2018-03-23,Friday,5,Daily,14871,,3,62,False,,2092
Byron Walden,Will Shortz,Normal,2018-03-24,Saturday,6,Daily,14869,,4,0,False,,
Finn Vigeland,Will Shortz,Normal,2018-03-25,Sunday,0,Daily,14874,Follow The Sun,6,0,False,,1
Andy Kravis,Will Shortz,Normal,2018-03-26,Monday,1,Daily,14905,,4,100,True,,1773
Peter Koetters,Will Shortz,Normal,2018-03-27,Tuesday,2,Daily,14904,,4,100,True,,2107
Peter Gordon,Will Shortz,Normal,2018-03-28,Wednesday,3,Daily,14906,,4,80,False,,2253
David Steinberg and Claire Muscat,Will Shortz,Normal,2018-03-29,Thursday,4,Daily,14908,,19,100,True,,2462
Sam Trabucco,Will Shortz,Normal,2018-03-30,Friday,5,Daily,14903,,5,0,False,,
Kevin G. Der,Will Shortz,Normal,2018-03-31,Saturday,6,Daily,14909,,3,0,False,,
Sam Ezersky,Will Shortz,Normal,2018-04-01,Sunday,0,Daily,14907,1 + 1 = 5,10,92,False,,5551
Jason Mueller,Will Shortz,Normal,2018-04-02,Monday,1,Daily,14955,,5,100,True,,1538
Damon Gulczynski,Will Shortz,Normal,2018-04-03,Tuesday,2,Daily,14949,,9,100,True,,3001
Eric Berlin and Weird Al Yankovic,Will Shortz,Normal,2018-04-04,Wednesday,3,Daily,14950,,7,100,True,,2370
David J. Kahn,Will Shortz,Normal,2018-04-05,Thursday,4,Daily,14951,,5,21,False,,1089
David Steinberg,Will Shortz,Normal,2018-04-06,Friday,5,Daily,14953,,4,0,False,,
Mark Diehl,Will Shortz,Normal,2018-04-07,Saturday,6,Daily,14954,,4,0,False,,
Patrick Berry,Will Shortz,Normal,2018-04-08,Sunday,0,Daily,14952,Triple Spoonerisms,10,0,False,,5
Erik Agard,Will Shortz,Normal,2018-04-09,Monday,1,Daily,14966,,4,100,True,,1600
Alan Arbesfeld,Will Shortz,Normal,2018-04-10,Tuesday,2,Daily,14970,,5,100,True,,1960
Keiran King,Will Shortz,Normal,2018-04-11,Wednesday,3,Daily,14967,,4,100,True,Gold,1619
Jules Markey,Will Shortz,Normal,2018-04-12,Thursday,4,Daily,14965,,5,45,False,,1894
Joe Krozel,Will Shortz,Normal,2018-04-13,Friday,5,Daily,14968,,4,0,False,,26
Sam Ezersky,Will Shortz,Normal,2018-04-14,Saturday,6,Daily,14969,,8,0,False,,
Alex Bajcz,Will Shortz,Normal,2018-04-15,Sunday,0,Daily,14971,Preposition Proposition,7,0,False,,
David Woolf,Will Shortz,Normal,2018-04-16,Monday,1,Daily,14996,,4,100,True,Gold,1296
Wren Schultz,Will Shortz,Normal,2018-04-17,Tuesday,2,Daily,14994,,5,100,True,,2387
Peter A. Collins and Bruce Haight,Will Shortz,Normal,2018-04-18,Wednesday,3,Daily,14993,,4,100,True,,2917
Todd Gross,Will Shortz,Normal,2018-04-19,Thursday,4,Daily,14995,,7,13,False,,416
Joel Fagliano,Will Shortz,Normal,2018-04-20,Friday,5,Daily,14990,,7,25,False,,648
Daniel Nierenberg,Will Shortz,Normal,2018-04-21,Saturday,6,Daily,14992,,5,34,False,,850
Ross Trudeau,Will Shortz,Normal,2018-04-22,Sunday,0,Daily,14991,Pluses And Minuses,9,0,False,,2
Lynn Lempel,Will Shortz,Normal,2018-04-23,Monday,1,Daily,15035,,3,100,True,,1444
Peter Gordon,Will Shortz,Normal,2018-04-24,Tuesday,2,Daily,15039,,4,100,True,,1768
Adam G. Perl,Will Shortz,Normal,2018-04-25,Wednesday,3,Daily,15034,,6,37,False,,1067
Alex Eaton-Salners,Will Shortz,Normal,2018-04-26,Thursday,4,Daily,15038,,3,54,False,,1504
David Steinberg,Will Shortz,Normal,2018-04-27,Friday,5,Daily,15037,,4,0,False,,
John Lieb and Andrew Kingsley,Will Shortz,Normal,2018-04-28,Saturday,6,Daily,15036,,3,0,False,,
Peter Wentz,Will Shortz,Normal,2018-04-29,Sunday,0,Daily,15040,Mis-Unabbreviated,7,0,False,,
Bruce Haight,Will Shortz,Normal,2018-04-30,Monday,1,Daily,15075,,4,100,True,,1425
Jacob Stulberg,Will Shortz,Normal,2018-05-01,Tuesday,2,Daily,15076,,5,100,True,,1252
Bryant White,Will Shortz,Normal,2018-05-02,Wednesday,3,Daily,15077,,7,0,False,,55
