"","game_id","game_date","game_status","home_team","away_team","home_score","away_score","winner","venue"
"1","2",2024-01-01,"Final","Toronto","New York","0","4","New York","Mattamy Athletic Centre"
"2","3",2024-01-02,"Final OT","Ottawa","Montreal","2","3","Montreal","TD Place"
"3","4",2024-01-03,"Final","Boston","Minnesota","2","3","Minnesota","Tsongas Center"
"4","5",2024-01-05,"Final","New York","Toronto","2","3","Toronto","Total Mortgage Arena"
"5","6",2024-01-06,"Final","Minnesota","Montreal","3","0","Minnesota","Xcel Energy Center"
"6","9",2024-01-10,"Final","New York","Montreal","2","5","Montreal","UBS Arena"
"7","8",2024-01-10,"Final","Minnesota","Toronto","3","1","Minnesota","Xcel Energy Center"
"8","10",2024-01-13,"Final","Toronto","Ottawa","1","5","Ottawa","Mattamy Athletic Centre"
"9","11",2024-01-13,"Final OT","Montreal","Boston","2","3","Boston","Verdun Auditorium"
"10","12",2024-01-14,"Final OT","Minnesota","New York","2","3","New York","Xcel Energy Center"
"11","13",2024-01-16,"Final","Montreal","New York","3","2","Montreal","Place Bell"
"12","15",2024-01-17,"Final OT","Ottawa","Minnesota","2","3","Minnesota","TD Place"
"13","14",2024-01-17,"Final","Toronto","Boston","2","3","Boston","Mattamy Athletic Centre"
"14","16",2024-01-20,"Final","Boston","New York","1","4","New York","Tsongas Center"
"15","17",2024-01-20,"Final SO","Montreal","Toronto","3","4","Toronto","Verdun Auditorium"
"16","18",2024-01-23,"Final","Ottawa","Toronto","3","1","Ottawa","TD Place"
"17","19",2024-01-24,"Final","Ottawa","Boston","2","3","Boston","TD Place"
"18","20",2024-01-24,"Final","Minnesota","Montreal","1","2","Montreal","Xcel Energy Center"
"19","21",2024-01-26,"Final","Toronto","New York","2","0","Toronto","Mattamy Athletic Centre"
"20","22",2024-01-27,"Final OT","Montreal","Ottawa","2","1","Montreal","Place Bell"
"21","23",2024-01-27,"Final OT","Boston","Minnesota","4","3","Boston","Tsongas Center"
"22","24",2024-01-28,"Final OT","New York","Minnesota","1","2","Minnesota","Total Mortgage Arena"
"23","25",2024-02-03,"Final","Toronto","Minnesota","4","1","Toronto","Mattamy Athletic Centre"
"24","26",2024-02-04,"Final OT","Ottawa","New York","3","4","New York","TD Place"
"25","27",2024-02-04,"Final OT","Boston","Montreal","1","2","Montreal","Tsongas Center"
"26","29",2024-02-14,"Final","Boston","Toronto","3","5","Toronto","Tsongas Center"
"27","28",2024-02-14,"Final","Minnesota","Ottawa","2","1","Minnesota","Xcel Energy Center"
"28","30",2024-02-16,"Final","Toronto","Montreal","3","0","Toronto","Scotiabank Arena"
"29","31",2024-02-17,"Final","Ottawa","Minnesota","1","2","Minnesota","TD Place"
"30","32",2024-02-17,"Final OT","Boston","New York","1","2","New York","Tsongas Center"
"31","33",2024-02-18,"Final","Montreal","Minnesota","2","1","Montreal","Place Bell"
"32","83",2024-02-19,"Final","Boston","Ottawa","2","4","Ottawa","Tsongas Center"
"33","34",2024-02-21,"Final","Boston","Ottawa","3","1","Boston","Tsongas Center"
"34","35",2024-02-21,"Final SO","New York","Montreal","3","2","New York","UBS Arena"
"35","36",2024-02-23,"Final SO","Toronto","New York","2","1","Toronto","Mattamy Athletic Centre"
"36","37",2024-02-24,"Final","Montreal","Ottawa","6","3","Montreal","Verdun Auditorium"
"37","38",2024-02-25,"Final","Minnesota","Boston","0","2","Boston","Xcel Energy Center"
"38","40",2024-02-27,"Final OT","Minnesota","Toronto","3","4","Toronto","3M Arena at Mariucci"
"39","39",2024-02-28,"Final","Ottawa","New York","4","2","Ottawa","TD Place"
"40","41",2024-03-02,"Final","Ottawa","Toronto","2","5","Toronto","TD Place"
"41","42",2024-03-02,"Final","Montreal","Boston","3","1","Montreal","Verdun Auditorium"
"42","43",2024-03-03,"Final","New York","Minnesota","0","2","Minnesota","UBS Arena"
"43","44",2024-03-05,"Final SO","Minnesota","Ottawa","4","3","Minnesota","Xcel Energy Center"
"44","46",2024-03-06,"Final","New York","Montreal","3","4","Montreal","Total Mortgage Arena"
"45","45",2024-03-06,"Final","Toronto","Boston","3","1","Toronto","Mattamy Athletic Centre"
"46","47",2024-03-08,"Final","Toronto","Montreal","3","0","Toronto","Mattamy Athletic Centre"
"47","48",2024-03-10,"Final OT","Boston","New York","3","2","Boston","Tsongas Center"
"48","49",2024-03-10,"Final","Montreal","Ottawa","2","4","Ottawa","Place Bell"
"49","50",2024-03-13,"Final","Minnesota","Boston","4","0","Minnesota","Xcel Energy Center"
"50","51",2024-03-16,"Final","Minnesota","New York","5","1","Minnesota","Xcel Energy Center"
"51","65",2024-03-16,"Final SO","Boston","Ottawa","2","1","Boston","Little Caesars Arena"
"52","66",2024-03-17,"Final","Montreal","Toronto","1","2","Toronto","PPG Paints Arena"
"53","53",2024-03-20,"Final","New York","Ottawa","0","3","Ottawa","Total Mortgage Arena"
"54","52",2024-03-20,"Final","Toronto","Boston","2","1","Toronto","Mattamy Athletic Centre"
"55","54",2024-03-23,"Final","Ottawa","Toronto","5","3","Ottawa","TD Place"
"56","55",2024-03-24,"Final SO","Minnesota","Montreal","3","2","Minnesota","Xcel Energy Center"
"57","56",2024-03-25,"Final","New York","Boston","3","2","New York","UBS Arena"
